mode,connections,handshakes_sec,latency_ms,client_cpu_per_handshake_s,server_cpu_per_handshake_s,client_mem_per_handshake_kb,handshake_bytes_per_conn,cert_bytes,key_bytes,delay_ms,rate_mbit,mtu
classic,1302,829.299,1.20584,0.00151306,0,8.26728,514.916,579,227,1,1000,1500
classic-rsa,992,1771.43,0.564516,0.000705645,0,10.4355,1215.74,1460,2488,1,1000,1500
hybrid-kem,1161,655.932,1.52455,0.00180017,0,9.1404,1659.7,579,227,1,1000,1500
hybrid-full,981,567.052,1.76351,0.00195719,0,11.8165,2649.03,5559,5502,1,1000,1500
pqc,1233,1100.89,0.908356,0.00107867,0,8.6326,2095.84,5380,3613,1,1000,1500
classic,125,500,2,0.0028,0,84.608,1100.72,574,227,20,100,1400
classic-rsa,112,589.474,1.69643,0.00241071,0,93.6429,1940.18,1460,2484,20,100,1400
hybrid-kem,127,384.848,2.59843,0.00330709,0,84.9764,3034.65,579,227,20,100,1400
hybrid-full,116,232,4.31034,0.005,0,97,3852.88,5559,5502,20,100,1400
pqc,119,396.667,2.52101,0.00319328,0,88.2017,3859.19,5380,3613,20,100,1400
classic,67,515.385,1.9403,0.00283582,0,157.97,1081,574,227,40,50,1500
classic-rsa,60,600,1.66667,0.0025,0,176.2,2028.13,1460,2484,40,50,1500
hybrid-kem,66,388.235,2.57576,0.00393939,0,163.758,3102.83,574,227,40,50,1500
hybrid-full,63,225,4.44444,0.00587302,0,182.603,4021.33,5555,5502,40,50,1500
pqc,64,400,2.5,0.00328125,0,165,4141.06,5380,3613,40,50,1500
classic,239,478,2.09205,0.0025523,0,44.8703,1060.51,574,227,10,300,1500
classic-rsa,180,545.455,1.83333,0.00227778,0,60.0667,2028.13,1460,2484,10,300,1500
hybrid-kem,228,400,2.5,0.00302632,0,47.3158,3121.8,579,227,10,300,1500
hybrid-full,202,252.5,3.9604,0.00455446,0,56.9901,4442.15,5555,5502,10,300,1500
pqc,213,434.694,2.30047,0.0029108,0,50.1596,4302.2,5380,3613,10,300,1500
classic,44,488.889,2.04545,0.00318182,0,244.091,1125.73,579,227,60,200,1500
classic-rsa,42,525,1.90476,0.00285714,0,249.619,1966.05,1460,2484,60,200,1500
hybrid-kem,45,375,2.66667,0.00355556,0,232.444,3087.02,579,227,60,200,1500
hybrid-full,43,238.889,4.18604,0.00511628,0,269.488,4103.16,5559,5502,60,200,1500
pqc,44,440,2.27273,0.00409091,0,240.909,3879.45,5380,3613,60,200,1500
classic,165,458.333,2.18182,0.0029697,0,63.7091,1068.94,579,227,15,200,1350
classic-rsa,135,519.231,1.92593,0.00259259,0,79.7037,2012.04,1460,2484,15,200,1350
hybrid-kem,163,388.095,2.57669,0.00319018,0,66.2822,3089.51,579,227,15,200,1350
hybrid-full,146,228.125,4.38356,0.005,0,78.4384,3829.66,5559,5502,15,200,1350
pqc,153,450,2.22222,0.0030719,0,69.7778,3726.22,5380,3613,15,200,1350
